I have	"J'ai"
you have	tu as / vous aves
he/she has	ill/elle a
we have	nous avons
they have	ils/elles ont
I am&nbsp;	je suis
you are	tu es / vous êtes
he/she is	il/elle est
we are	nous sommes
they are	ils/elles sont
round trip	aller retour
one way	aller simple (sampl)
delay	retard (re-tar)
helmet	le casque (cask)
cyclist	le cycliste (cee-clest)
bike	le vélo
light	la lampe
slope	la côte
chain (bike)	la chaîne
climb (bike)	la montée (mont-ee)
puncture	la crevason (cray-va-son)
I do not understand	Je ne comprends pas (je nu compron pa)
speak slowly	parlez lentement (parlay lan-te-mon)
Repeat	Répétez (repeat-e)
can I pay with a card	Est-ce que je paux payer avec un carte
how much does it cost	Combien ça coûte
I go	je vais (vay)
you go	tu vas/ vous allez (allay)
he/she goes	il/elle va
we go	nous allons
they go	ils/elles vont
i do	je fais (fay)
you do	tu fais/vous faites (fay-te)
he/she does	il/elle fait (fay)
we do	nous faisons (fva-son)
they do	ils/elles font (fo-en)
I say	je dis (de)
you say	tu dis/ vous dites (di-te)
he/she says	il/elle dit
we say	nous disons (de-son)
they say	ils/elles disent (diis)
11	onze
12	douze
13	treize
14	quat-orze
15	quinze (kaans)
16	seize (say-ze)
17	dix-sept
18	dix-huit
19	dix-neuf
20	vingt
30	trente (traunt)
40	quarante (ka-ront)
50	cinquante (sank ont)
60	soixante (swa-sont)
70	Septante
80	Quartre vingt
90	Nonante
100	cent (sa-n)
i dont speak much franch	je ne parl pas boucoup de francais
how do you say that in french	comment dire ca en francais? (komon deer sa)
what does that mean	"qu'wst-ce que ca veut dire (kess kuh sa vuh deer)"
can you speak more slowly please	pouvez-vous parlez plus lentement sil vous plait?
can you please write that down	"est ce que vous pouvez l'ecrire s'il vous plait"
i take	je prends (praw-n)
you take	tu prends / vous prenez (pren-e)
he/she takes	il/elle prend
we take	nous prenons (prawn-on)
they take	ils/elles prennents (pren)
Monday	lundi (lun-de)
Tuesday	mardi
wednesday	Mercredi (mec-ra-de)
Thursday	Jeudi
Friday	Vendredi (von-dra-de)
saturday	samedi
sunday	dimanche
I like	"j'aime"
you like	tu aimes / vous aimez (aim-e)
he/she likes	il/elle aime
we like	nous aimons
they like	ils/elles aiment (aime)
I do	je fais
I know	Je Sais (say)
you know	tu sais / vous savez (savay)
he/she knows	il/elle sait
we know	nous savons
they know	ils/elles savent (sav)
its my fault	au temps pour moi (au tamp pour moi)
What time is it	Quelle heure est il? (et il)
ten mins past one	une heure dix
a half	un demi (dumi)
a quater	un quart (un car)
quater past one	une heure et quart
twenty to two	deux heure moins vingt (mwa)
quater to two	deux heure moin le quart
I can	je peux (pu)
you can	tu peux / vous pouvez (pu-vay)
he/she can	il/elle peut (pu)
we can	nous pouvons (pu-von)
they can	ils/elles peuvent (pu-v)
today	"aujourd'hui"
this morning	ce martain
this afternoon	cet apres-midi
this evening	ce soir (swa)
i want	je veux
you want	tu veux / vous voulez (vou-lay)
he/she wants	il/elle vout
